"Individual","Treatment","Timepoint","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels"
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_RGB_0001_DAPI",581,17.5724194915254,14.5225988700565,35.5508474576271,48.8360720338983,120.101694915254
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_RGB_0002_DAPI",371,20.9634100529101,16.6216931216931,42.5343915343915,93.5047010582011,311.902116402116
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_RGB_0003_DAPI",629,18.0124044630404,14.8479776847978,38.0264993026499,54.0733026499303,153.016736401674
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_RGB_0004_DAPI",713,18.6253228426396,15.2060913705584,36.0314720812183,74.2031807106599,151.418274111675
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_RGB_0005_DAPI",429,17.525724789916,14.2983193277311,38.1785714285714,49.7452058823529,124.502100840336
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_dup_RGB_0001_DAPI",945,20.1466305031447,16.4811320754717,38.9764150943396,96.0426202830189,196.447327044025
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_dup_RGB_0002_DAPI",813,18.9256772639692,15.6107899807322,36.9826589595376,66.7210154142582,138.345857418112
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_dup_RGB_0003_DAPI",528,18.2743230293663,15.0664605873261,36.7217928902627,50.6966398763524,118.398763523957
"Ind2","DMSO","144R","10X","DMSO144R_87_yh2ax_10X_dup_RGB_0004_DAPI",770,18.6482631578947,15.4407894736842,36.8562030075188,64.6004736842105,144.999060150376
"Ind2","DMSO","144R","20X","DMSO144R_87_yh2ax_20X_RGB_0001_DAPI",307,16.0864982578397,10.4808362369338,42.8745644599303,65.7520452961673,205.404181184669
"Ind2","DMSO","144R","20X","DMSO144R_87_yh2ax_20X_dup_RGB_0001_DAPI",112,12.328,8.37142857142857,37.6571428571429,34.7702666666667,136.6
"Ind2","DMSO","144R","20X","DMSO144R_87_yh2ax_20X_dup_RGB_0002_DAPI",239,13.9156784140969,9.74449339207048,38.2555066079295,38.7056696035242,152.519823788546
"Ind2","DMSO","144R","40X","DMSO_144R_87_yH2AX_40X_RGB_0001_DAPI",67,26.8522835820896,14.865671641791,83.8507462686567,1982.05029850746,5105.71641791045
"Ind2","DMSO","144R","40X","DMSO_144R_87_yH2AX_40X_RGB_0002_DAPI",90,26.5512857142857,15.5824175824176,74.2087912087912,2107.28487912088,4220.13186813187
